sentiment,content
neutral,"Mayne, its getting hot out here in georgia.."
negative,@eraticschematic I'm pretty bored with it too
negative,has just received a phone call for new patients...i guess that means work for tomorrow!
negative,Tried to do an Audioboo recording but it' distorted due to the high volume  #OBS
neutral,would really like to not be at work and instead taking a nap.
neutral,@misschellebeans i work til 10:15...
neutral,@AnnRan5 thats too bad
negative,@wyatthaplo I can haz beer too? Oh wait... I'm a work...
neutral,Miss Cauzinhoooo already
negative,I hate this weather  i wanna bake
negative,@shaaqT @primaveron to mast ladki patata hai chal jiske sath bhi jaye khush rehna...will miss u my love...  #twpp
neutral,tummy hurts
negative,is updating an old ipod...sad...i miss my orange nano
negative,@lululemon thanks.  Sadly the streamline top II is sold out. Streamline trunk II is available in my size but that only gets me halfway.
neutral,@dleroux I still have my lights still up   you think he can do mine too?
neutral,@freckleface3 I am trying but I can't place it....sorry!!!
negative,lost my DC hat ..
neutral,"lazy day, staying off the foot as much as possible."
neutral,has been told shes not allowed in the sun tomorow!  either that or wear sun cream!
negative,"Have I ever told you I absolutly hate writing emails, status pdates are fine but emails have so much...finality...to them"
neutral,I'm sitting around wanting to do something  any ideas?
neutral,Work around the house  boo
neutral,says SPACE AND TIME IS ALL WE NEED  http://plurk.com/p/x2dvj
negative,@Saniyyah &quot;My House&quot;...I like that club! I wnt there whn I was in LA!! U know I'm not going! That's on Tuesday..I can't
negative,"I'm pissed, someone took my wallet"
neutral,@elisaxx http://twitpic.com/66y00 - Niceee  Hey i never get stickersss
negative,@melii That's true.  It still sucks though 'cause I was all &quot;LOLOL I AM SO ORIGINAL--ohshit&quot; so. But yeah. Thanks!
negative,I really miss Sebastian
negative,"@_ophelia Oh, Hamletgasm! I hate having to work 12 hours today!How utterly crap, I miss everything! [managed forum for 5 min on break  ]"
neutral,@redassyellabone It's time to be all u can be like the reserves....I lost one.
negative,Left &quot;Up&quot; due to out-of-focus projection.   Hopefully my complaints to theater management will get it fixed for everyone else still there.
neutral,@mileycyrus i dont think you can vote anymore! i tried
neutral,"@AaronWarner I know, but I'm on Rogers and I'm pretty sure they don't have the same agreement with Twitter."
negative,@sianhughes_ oh god i just watched it to!! did claire escape? AGAIN!!! it was really quite sad
neutral,"I'm going through withdrawls,  missing someone!!!!"
negative,"@xomorganjane aw, sad  I was looking forward to seeing you!"
neutral,@SocialVibe I have a FACEBOOK but I use MYSPACE and TWITTER the most. I hardly check my Facebook..
negative,i dont wanna do this anymore! but the couch is jus sittin in the middle of the floor. do i really HAVE to finish?
negative,10 more minutes and i never have this class again. Its kinda sad cause this class is so fun
neutral,twitter wont work on my mob....
negative,listening to @joeymcintyrye's Without Your Love...hes so tortured in that song...makes me sad
negative,"@tahitianmom that truely is sad news to hear  we are all created equal, so sad to know our neighbors are such prejudice people"
negative,@CrypticIrnAngel thats a bummer i haven't got one yet :/ been waiting over a year  grrrrrrrrrrrrrrr
negative,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults
negative,@MandyyJirouxx but Today mtv does not allow us to vote
negative,Wish I didn't have to work today.
neutral,is looking for a job
negative,Its rained ever day in Miami since I've been here.....
neutral,@marisianempire:   whatcha reading?
negative,"@_missJP LMAO! ugh i know, i need to sleep the Qdoba off before i do all that workin out. and no, ur pic doesnt show"
neutral,bout tuh head out an find sum wher tuh go an chill
negative,i wish i were hanging out with kobe right now
negative,"Guess I'm gonna try the nap thing again 2day, but since my kids haven't cooperated with it yet this week I'm sure 2day won't be different"
negative,i neeeeeeeed music suggestions but no one will give them
negative,Just lost respect to someone.
negative,Sims 3 wouldn't work on my old macbook  hope to get Sims 2 by tomorrow.
negative,@nikkilynnsd aw i wish i could.  i have to get ready for atlanta and i have to come into work since I am behind on work
negative,"MIT bookstore has best book selection, but it's the one bookstore I have no coupons or discounts for"
neutral,I cant follow any1  on FollowFriday LOL u guys follow @SteveRaze @djpooh @losdigital @djsmartiez @djeightmile @maestro @rollingout @djlgee
negative,about to start getting ready for work.  took lexi out to the park earlier! wish i could lay around ALL day.
neutral,Prayers for my family and my dog - Mozart is being put down this afternoon.   Pics of him at http://tinyurl.com/mozartdog
neutral,@EuanGriffin Why?
negative,@lyricals don't care about my struggles..
negative,"For some dumb reason my dresser is sticky on top. And for another reason, a family history book got attached to it  Now the back is jacked"
neutral,I'm still thinking ... Idk
neutral,@michy_mar_mey I want cake  is it chocolate!??
neutral,@proactiff WHO IS SAYING ALL THIS...are you ignoring me *frowns*
neutral,@cailingg me too  what are you doing?
negative,i miss my boo  on another note im soready for this game to come on tonight...fox grill anyone???!!
negative,@sunilsebastian I still have a lot of time on my stupid contract...  18 months before I can change providers
neutral,@kassielovee belly ache...lulz....I'm sorry though  ....ginger ale!
neutral,@carbyville - Ya but they have to speak to you first to reply to them..
negative,at least 3 more days
neutral,I just filled out the forms to stop contributing to the retirement account i had set up with my employer  I have to pay off my credit card
negative,TGIF!!! But also sad that this is last day I get to work with my favorite TV reporter
neutral,@sgBEAT:kwanghock @Valkyrieslife @kahhongtay @jeremy89632 it is the Hao Da Za Ji Pa?? I miss the food there so much??
negative,@YasmineGalenorn depressed that both of those are already out but yours isnt. I want your book!!
negative,"@simplysinister that sucks  I seriously hope you feel better soon, you need to come over next week!!!"
negative,@kyle_newman i just called and it's sold out.  bummer. next time!
neutral,eating my roommate's cereal. sorry bro
negative,Im wishing that i had the weekend off so i can go to SOL.
negative,@thriftymommy well my daughter is 20 now...thats why I said 'I miss those days'...they go by sooo fast
negative,spending most of the weekend working.. that doesn't even sound fun
negative,@BiffBarker Ohhhhh how I miss the Brunch
negative,"Oops, forgot we are having a barbecue at work today! I didn't need to pack a lunch after all"
neutral,@solangeknowles girl you know beauty has a price
negative,"@CourtJsallis  lolll, i cba to get the sun stuff and i forgot that the back of my leg wouldnt gwt tanned lol. it hurts sooo bad right now"
neutral,"@ginamc she's been watching the cartoon clone wars, and she's totally into the force.  Shannon won't let her see the live ones yet tho"
negative,I am so jelz. I want a house. &gt;
neutral,@Em_Fizz he's really not into new people  I dunno em but he said he'd try
negative,and wtf at little 9 year old wanna be thugs? ugh why can't everyone just be friends and not in cliques like back in the old days
negative,this is a horrible day.
negative,@BeateVeronica I'm jealous - I would love deer steak. One of the downsides of having an almost vegetarian and a carnivore living together
neutral,"@janelleyo Wish we could deliver alcohol, but state law prohibits us."
negative,Checking out zensify on my iphone. works fine but no landscape typing
neutral,"AK, flop comes 2K6 I bet 15 get raised to 25 I call, turn is A, we check, river rag, then I check and he bets 15, I raise 15 he calls, 22"
negative,okay... I can't twitter anymore.. I have to study..  ugh I HATE SCHOOL.. jk. but I thoroughly dislike it...
negative,Stupid net  we think mum broke it. Again.
neutral,Rainy day is rainy.
negative,No shoes for me.
negative,is up at the hub for day parade again (of course) and they just cancelled the castle show mid-show
negative,installed the new modem which is meant to run 5 times faster than the old one and its slower  what the hell? gah slow internet kills me
negative,No pool today.   Stupid weather.
negative,Roscoe - Smooth Sailin' WHY DID NO ONE TELL ME ABOUT THIS SONG?????? RAP FRIENDS U HAVE FAILED ME
negative,"@MAMAHINAi was on the list, i paid 5 to get in, but if your under 21,you cant go in and out, but it was gettin so hot, so we went outside"
negative,"Wow, my bed is SO comfy &amp; my nap has been much too short. Getting up for work = do not want."
negative,"@BretWolfe its a travesty, no? and, the people who are doing this said they'd THINK about involving joss whedon!!!!"
negative,I have not recieved any mail in over a month  life is boring
neutral,@deathwishinc of course its not coming to boise
negative,ughh on the phone with HP!
negative,Where's my Happiness?
negative,"Was a little slow to try this one, but Ben &amp; Jerry's Mission to Marzipan is a bit of a letdown."
neutral,@divarina21 did she tell you why she hasnt? i miss my boge.
neutral,"@DevonStebnicki wow, that sounds way more stressful than my job  thought about continuing edu and making a move?"
neutral,@DoTPeRioD that sucks
negative,Not feeling well. Food poisoning.......
neutral,little miss ugly
neutral,@jzwack took my forum access away   fail.
negative,Powerdvd doesn't want to play my Pushing Daisies dvd. I only want screenies to make icons with! Copy protection gone bonkers?
neutral,@JoeysMissMac Blah! Got a shot at the hospital   Taking gravol and moving very slow.
negative,at home sick
negative,Friday night and still working...oh wait..it's Saturday morning already
neutral,@stefathena maybe i'll go one day and thanks i'm all swined out
neutral,planning how to move back home...the regression process is in motion
neutral,@so_precious06 sooo mad
negative,I miss you
negative,Now @mumbly_joe is trying to guilt me into coming to Alumni Weekend. I don't think I can make that either this year. I suck a lot.
neutral,So full from a great lunch and now stuck in traffic
negative,SICK again
negative,I'm so sleep deprived but it's to hot to sleep.
negative,"http://bit.ly/253ce  :: I got bit in the face by a doberman when I was four years old, I just wanted a kiss   My neighbor had about 13 ..."
neutral,@apollo18 Dang! Dogs are only for central and northern CA
negative,on my way to my dad's with my sistas..  r.i.p. Deb..
neutral,@OMS_AOP It has moved away from my house and must have found its way to yours
negative,@Exprincess http://twitpic.com/67318 - *sniff* i feel so left out!   *grin*
negative,At home sick.. On a friday...studying is all im doing at this point.. My weekend is so ruined
neutral,@mileycyrus voting is over. since like four days ago i think  i told all my friends 2 vote for you a million times. you will win! love you
neutral,@nmarshall23
negative,Had to eat my sandwhich since guys were in a meeting. No sushi to brag about.
neutral,@SKYISLANDS that's just it... I don't have anything other than work
negative,Facebook Farm town become slower and slower
neutral,"@bhamboxset I saw them at a show a few weeks ago.  Hate to say I was not all that impressed    fun. and AS were good, though."
neutral,My new camera... http://tinyurl.com/l8pde3 ... RIP my hot pink Polaroid i733
negative,Not good news  Time for an incredibly hard decision.
neutral,@meg_la_mania i have no mask to  whoooops
neutral,"Started the week with a wedding, now ending the week with a funeral"
neutral,@Bizfizz Does it start tomorrow?  I was going to book Sam on that and forgot
negative,Today more sore than surgery day. Glad I took extra sick day.  Full recovery expected after 6 weeks.  Calling lawn service firms today
negative,"I did the dishes and I'm now on a train to Newcastle. Have to leave #nontweetinggirlfriend behind for 2 weeks, which is always a bit sad"
neutral,@sianhughes_ i kinda hope she died in the fire cause i didnt like her but there was no sign of a body
neutral,sneezing frequently
neutral,ninja sushi for lunch but dominicks was out of sour gummy worms
neutral,bored  and sleepy and listening to music :p doing project :S
neutral,@arsc mega burguer was my lunch yesterday
negative,"ohhhh, how sad...I didnï¿½t get it!"
negative,Borrowing my Mom's Lenovo laptop The trackpad and the battery life suck balls for quarters. Seriously missing my MacBook Pro
neutral,Dj Hero coming soon who's getting it? Seems like ima have to retire my Guitar Hero
negative,wants to go out tonight but cant get home
negative,@Dayna_aka_Rowan he could be talking to me  (he's probably not though ;) )
neutral,At minibar... listening to politics  maybe some tech starups soon?
neutral,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I'd removed space which messed up URL.  ^ES
negative,@grahamcoltonfan hahah me too!! Except for when Haley gets hit by a car  but yay Leyton!
neutral,@3Alexx It is AMAZING!!!  Its gonna get scratched sooo much though  Lol. I have 4 movies and 30 TV Shows on it already!!
neutral,So tired &amp; ready for bed!! Really in the mood for salt &amp; pepper chicken wings &amp; noodles but have no money on me for a Chinese!
neutral,working on homework!!!
neutral,"Going back to my house to pick up some dvds for bapang and pick dito's up but forgot to pick up other dvds for dito, so I have to go back"
negative,It's Going To Be A Busy Day  And That Sucks Cause I Wanted To Spend Time With Someone Earlier Today
neutral,"@shakamaiden DAMN dude... dia 06, 20 e 27 eu tenho curso na DRC  flash expert..."
negative,The only thing I hate about Playoff Pens hockey is how much the tickets are! I wanted to go to a game but there 300$ a ticket
neutral,@cowmage  read something happy?
neutral,alicias tonight? idkkkk. ughhh
negative,http://twitpic.com/674p1 - @JTHawthorne this is my Ohio is for lovers tattoo got the design off the shirt.. haha but I lost the shirt
neutral,In Drivers Ed  then dance.
negative,is sadly sitting at home when she could be going to a partyyyyy
neutral,@KourtneyKardash lucky bitch! haha we have COLDDD rain up here in MA  i would give anything for hot rain right now!
negative,Wishing I could kidnap @candrews from work
negative,@grrachel  that made me sad..
neutral,"Waaah, asshat at CVS yesterday shortchanged me  I paid 10$ for chips."
neutral,last time washing my hair
negative,I need hugs from Joe Jonas
neutral,@FTSKirstin its taking forever to upload
negative,@Elleipein aww honey I'm sorry
negative,@ClintonSparks I told u I tried but 88 said it was 2 late  cause the girl I was with took 4ever 2 get ready. they wanted to meet up by 11.
negative,"damn fight night 4 demo won't load, keeps crashing at the first screen. time to delete and re download i think"
negative,@KourtneyKardash i hate this weather! When u have lived here ure whole life u get used to it...may is always rainy  @RobKardashian
negative,hates the sound of silence..doesnt like being shut out..
negative,Got up early did a shit ton now im headed to cherokee park to run  and walk !
negative,My arms are making me want to cry... and also because those shots made me sick
neutral,I have MAJOR CRAMPLES!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
negative,@ jimithy1: can't come  msbj&lt;3
negative,"@thatchmaster i miss that place, but miss wegmans even more. whole foods != wegmans"
negative,@lozzy hahah I wish that was true. This is really really bad  just gonna stay home and chill tonight. And as usual I REALLY wanted to go.
neutral,"@Jamjar84 i got 2 much 2 do 2nite 2b bored. In bath still hav wash, dry, straight hair, get clothes ready etc"
neutral,boo gf can't go now  I passed my guard training lol
neutral,Had lunch at a Japanese sushi restaurant &amp; I ordered in Japanese as I usually do in sushi places. Cambodian waitress didn't have a clue
neutral,@tapulous You always catch me away from my computer.  ?
neutral,Ug. Full of cold and in a dark pub. Want to go outside
neutral,@BossTutie I said hi to u
negative,not really in the twitter mood today... i don't know what to do
negative,"@Knownhuman damn - that's sad, then... I haven't heard the new one yet. Sounds like I've been spared a tragedy."
neutral,@bobbyshirley Anything is accepted except Christianity. Google the discussion thread &quot;sexuality and religion&quot; and SLED for Second Life.
negative,"i wanna see 'up' tonight, but no one will go with me. whhhyyy"
negative,Evaluating my people...Dont like this part of the job
negative,does anyone know where I can watch the prison break tv movie? It's not on itunes
neutral,@arischenck Headed back to Baltimore tonight
negative,@BonesCrazy24 I've had the week off too...but I have Biology  exams to revise for so my Bones time is limited
negative,"@Xantiriad the music in the trailer was terrible imo, cheesy handbag house. I was expecting some dnb or hard house"
negative,Edge left me off the contributors list in this month's issue.  x FFS. &lt;- Werd
negative,In denial about the moving van parked a few blocks away.
negative,Last day in maui
neutral,I need to burp ....  Im so nauseas....
neutral,"@tandmark well at least they have good taste in art,cabinet appts.not so much"
neutral,@willisface you know you want to come keep me company whilst mum's at her friends for the night  it's such a nice evening!
negative,@tapulous where's the UK love?!
negative,@1jaredPADALECKI 5 seasons that's it? Sorry just noticed in ur previous update. My sis isn't gonna be happy
neutral,@vcha you should say mlia instead of fml  i hope you find it soon
negative,oh how I miss my truck... I could have my whole place moved by now...
negative,is in mourning that he is having to miss the homesssssskooooler fair today!!!
neutral,@EmmDeeCee no he wasn't there today
negative,Laundry time and LOTS of it!
negative,@princeofcode Sorry we couldn't get the project working with the windoze laptop  but a ton of folks came up afterwards and saw it running
negative,Still white despite being out for ages in the sun
neutral,@lilyroseallen no one ever wear a tshirt with me on it  you're very lucky
negative,I feel like I'm going to toss my cookies
negative,Off to Nanaimo 2day... missing my son already and i havent even left yet
neutral,"Ha, @joestump i'm giving spymaster a chance - just curious! will miss u"
negative,Bad day at the office. In a horrendous mood  Was it national 'Act like an idiotic buffoon' day today and no-one bothered to tell me?!!
negative,Funerals are no bueno
negative,SHIT I lost my Star Trek ring!    Starfleet Academy class ring w/ Golden Gate Bridge on it.  Got it as high school graduation present.
negative,@tessonfire I feel almost empty inside today.  Not a good feeling.
neutral,Hmmm...strained my back  Hope it's better tomorrow morning..
neutral,work 4 - close
negative,@Valholla that's sad  what kind of mess are you getting into this weekend?
negative,@GeneralTekno I won't be getting any ROTF toys 'till MUCH later.  Tell me if anybody isn't/is worth getting.
negative,Friday night is never as fun as it should be when you have work on Saturday morning
negative,@dfizzy you're so lucky. we have 6 weeks until summer
neutral,Busy friday. I got lots to do and a game tonight. 8:15 at McNair! Last AP Lit and Gym today
neutral,No Yonkers news posts until June 2 because the newspaper furloughed me
neutral,"@dietsch Union Square? Somerville? You're better off with the 87. That probably helps you zero at this point, though."
neutral,My teratoma has a cavity and is experiencing male-pattern baldness
negative,Im sad...there's a for sale sign in front of my house!!
negative,A little 3 mile run done!  22.5 minutes...  I'm exhausted!  Not impressed with the HRM...
neutral,Spilled chocolate milk in my car
neutral,@PBsAlienGirl  Happy Belated birthday hun!! My net broke  This is the first chance i've had to get online! Luff Yooooooo xxxxxxxx
negative,i feel so bad when the kid is sick
negative,melissa_leah: my car wont start.......
negative,@cacaubrazil that's not great  guy related??
neutral,I dont know what to have for lunch today and its so darn cold today
negative,@Impala_Guy Hello - iï¿½m back  Hope that happens not occasionally as on wednesday
neutral,"@brianjking If the drive is automatically ejecting supported discs (ie CD-R), and you can't boot from a disc, it's time for AppleCare"
negative,@danisometimes  sadness. you could hang out with me and feel less apathetic.
negative,Getting AxKit running on Ubuntu 8.04 is making my head explode.
neutral,"I assume nobody uses PortableApps anymore except for myself. In that case, forget what I said earlier"
neutral,Red Rock for lunch with Colin. @JKearl and @euphor couldn't come.  IPA Junior freshly made! Yum yum yum.
negative,Mean people suck.
negative,"we need to have a haters ball today like on dave chappelle,,,,, man I miss those days on comedy central the new episodes"
neutral,@BonesNeko_UK That sucks! I had my exams be4 half term so It's all good. Although they were major subjects now I have languages and stuff
neutral,"two rooms packed and cleaned, three to go"
negative,i hateeeeeeeeee telemarketers!!!!! gotten about 10 phone calls today from them and its only 3 in the afternoon!!
negative,@japanimated I miss you too
negative,@Spacerbunny oh that sucks!!!  Thank God for your laptop!!
negative,@MikeyUnderwood so no rice or crusty bread with the chili .... aawww
negative,@Totally_Toni   i'm having one of those days today also
negative,...  Headed to Hospitol : Had to pull out of the Golf Tourny in 3rd place!!!!!!!!!!! I Think I Re-Ripped something !!! Yeah THAT !!
negative,slept with my eye open again- hurts like hell... wish I could find the eye lube stuff to make it feel better....
negative,"@chezpim they are terrible little beast but if the garden is small you can simply collect them, or you can buy poisonous food pellets"
negative,I'm suppose to get up to go find sumthin to wear tomorrow but I can't get up
neutral,my tree tipped over in the lawn
negative,u ever have a friend that u just wonder why are we friends? i know what you get from me but i'm questioning what i'm getting from u.
neutral,@AbelPetSupply LOL! No trialing...for the most part Florida trials come to a screeching halt over the summer.  Have fun this weekend!
negative,"@qdakid Q, i dont get love anymore  ?"
negative,Hairdye patch test has just smeared all over my WHITE duvet cover  fucking cunts. &lt;3
neutral,@nikkie20six well I learnt to use a machine yesterday! not too confident yet though so... hand sewin for me!!  xxx
neutral,still waiting
negative,@Cherryadestains It was blatently your fault for just shoving it in the bag when I said no  I felt that you had very much tricked me. xx
neutral,"in computer class, photo booth doesn't  work"
negative,"@MelissaPan awe yeah, it's more fun revising with others but you get distracted easier &gt;.&lt; yeah I'm tired, revising history"
negative,"Ugh, I don't know if U even care about Nicole Richie, but I do and C that I missed her on TV last nite despite the twitter  @JennOrtigoza"
negative,George is sad because he can't go for a car ride with his dad  http://apps.facebook.com/dogbook/profile/view/6877274
negative,sick  and HAPPY 13th Amanda
neutral,When am i getting a yearbook?  today was strange
neutral,@SuprnaturlShana he not getting off early?
negative,anyone have tickets to the mtv movie awards? some guy scammed me
negative,"@tatrtalk I wanted to, but I sadly work today.  Normally, I don't work Fridays, either."
negative,Willie is pouting because Grandma didn't put any treats on my food  http://apps.facebook.com/dogbook/profile/view/6877293
neutral,@twinnadryl   .ï¿½ï¿½?????ï¿½ï¿½.  i bet. man i wish i coulda went some whr. i didn't even go out here. i was home all weekend.  nyt life sux here
neutral,"Just sneezed three times in quick succession. But three is not four, so no record."
neutral,continuo tentando trocar o background do twitter...over capacity!
neutral,I want some cheese fries from fontanas.
neutral,Done at the spa   now meeting vic for some late lunch!
negative,So tired n sick-what the fuck is wrong w me
negative,is really sad about her nephew  but keeping busy sorting out items for BWM! http://bit.ly/N9tsM
negative,@MajorSpoilers majorspoilers.com has problems - cannot get the site working
negative,@pollybowles don't say that - I really miss my red Porsche (sold it 2 yrs ago)
negative,"just played like, 5 games of dota hahaha. I wanna go home"
negative,On my way to get the crate and Bella Dolce!!!! Sad cuz @livingdeaderin is going tto Richmond
negative,@PrinceTerrence TERRY TERRY TERRY!! i miss you
negative,@lancearmstrong any chance of seeing you at a race in germany? unfortunately hardly any tv &amp; news coverage of cycling here anymore!
neutral,@brendaelizabeth yeah... I suppose
neutral,is all alone for the evening!
negative,@mtupyro - don't feel bad. I got a foad for a promotion here too.
neutral,How does this Follow Friday thing work?  I don't have any real followers
negative,this week has been awful.
neutral,@Ellebella618 OMG.  I'm so sorry! Anything I can do to help?
negative,Is at the botanical gardens and its beautiful but she forgot an extra memory card so no pictures today
negative,Have to keep bumping the mouse so my computer doesn't go to sleep. No Internet access  No files to work on. Slowest Friday eeeeevvveeerrrr
neutral,has no people skills.
negative,moving offices  I'm going to miss you Hollywood.
neutral,"@michaelwryan Can't, did I forget to say that?  hahaha   I wouldn't be able to get home."
neutral,@HereLiesVanessa understandable. yah i leave on monday! I'll be gone when you're in chi
neutral,@MSTALENT I know right...
negative,2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing
negative,Please help me get this song out of my head
negative,Im in science!! very boring
neutral,What up ab circle! Anddd It's still in the box  f work
negative,Back at home. At the moment Iï¿½m speaking to my aunt on the telephone and Darius is neighting in the backround... Miss my little horse
negative,@deevazquez Lol. She's offering me a case of guiness!  can you one up her? If you buy me two I'll stay. Let's start the bidding wars
negative,"watched prison break special, such a sad ending"
neutral,@Mileycyrus I tried 2 vote 4 u the other day but I couldn't figure out how 2 do it  help? Lol
negative,"Aww @danbharris is getting married, congrats to him and his new wife! Now I miss the WN Weekend people"
negative,The new tecas driver license design is ugly
negative,Spent the last hour signing yearbooks. I'll miss you guys!
neutral,I put a real pic of myself up. I'm going to miss the avatar.
neutral,@cfuess is making me hungry.  i had a bowl of cereal
negative,"@danielbachhuber if so, the TMobile G1 is the Hummer H1. I wish I had the battery life of an iPhone!"
neutral,Ready to go home  2 more hrs of wrk
negative,Oh no... The sun's gone!
negative,I cant get all my rwitters on my phone this phone sucks
negative,@NateBodnar are you going with jordan? he told me to come but im stuck at work
negative,@nippysweety Thanks very much for the #ff @nippysweety ! My only one today
neutral,"@markhoppus Think about adding Apple Shampoo.  100% My fav blink tune, and in the 3 times I've seen you guys, never heard it live."
negative,@revfry his fam would disown us if we weren't there!   Both of us really wanted to come to the bbq  but got our weekends mixed up -
neutral,@GenuineAmy I wanna watch that movie again. Maybe that dvd will work in my laptop since Dawson's Creek doesn't
neutral,@wren  I know.  Sorry.
negative,@Pristina I hide my berry like a slave REGULARLY only today I was caught by massa   &amp; im def not light enough to be a juice pouring slave
neutral,"Patay na pala si Pat Morita, the sensei on Karate Kid. &quot;Wax on, wax off.&quot;  http://plurk.com/p/x2gey"
neutral,@klee123 It wasn't loading.
neutral,"@cloudconnected  won't be out until august, but MAYBE someone really fast will xlate it &lt;3"
negative,"i'm out of books to read, movies to watch n stuff to buy...i'm bored!"
negative,Sad to say bye bye to these beautiful mountains.  http://twitpic.com/675ks
negative,I missed @tapulous giving away a TTC code
negative,#twpp and no one told me?
negative,Why don't you make me feel like you used to
negative,@AttyBowen me and Arlando are totally done. I havn'e talked to him in a LONG time!Now I just have to find a 'worth while' man...
neutral,"@mileycyrus Miley, I tried voting for you, and it wont let me vote for some reason  Ill try back a little later! &lt;3"
negative,I Wish i was still in Cornwall - i miss my auntie's dogs
negative,@hitekfame my bad... I am always running...
neutral,@laccboner man I can cut my hair now. I mean not with cory.  procuts here I come.
negative,"Ok, WTF?! Why do you have something on your menu *in the window* if you don't sell it?! I wanted my bubble tea"
negative,@majayy what about me  I miss you too!
neutral,eating lunch cant wait till 6 off work but gotta work tomorrow
neutral,@cascandar We are working
negative,@lisibo ooohhhhh - sorry  So sad - never noticed the dollar signs! #oxteach
negative,Ugly betty was sooooooo sad!!!
neutral,Boognish wishes Clemmie would be nice to me  http://apps.facebook.com/catbook/profile/view/6831309
neutral,oooh gosh Google Wave is looking pretty sexy. Lunch time's over though  Back to Powerpoint (significantly less sexy)
negative,completely bummed.  I'm stuck in a ford focus for the weekend.  My car's in the shop.
negative,@22jenny I hate snood. lol. sorrry  i dont know how people play it!
neutral,showed my fluids decreasing slightly. So doesn't look like she's letting me out of this bed anytime soon  I have a follow up U/S next week
negative,Only have 80  followers... So sad.
negative,Senior video in mustang update. I'm gonna cry
negative,I have to wait until I get home to watch the New Moon trailer clip. Stupid work Internet access restrictions
negative,Its so cold! I wish @shelby_says or @tattoos1985 were here to cuddle with me
neutral,"hmm, anyone else have their iPhone's earphones' grey rubber disintegrating?"
negative,Back at home and phone my grandma... I love her and miss her
neutral,@sugarsharrk Hey I was scared last night at 3:17 because of you... and I had several bad nightmares
negative,"@Ilovefal b/c &quot;we&quot; ONLY have Baby Phat, Phat Farm, Applebottoms &amp; FUBU!! And they come up pretty WEAK!! Double"
neutral,@Puddynface2 I just heard from Brendan (DJ) that there isn't a party on the boat this weekend
negative,There is no good place to grab a quick healthy lunch in downtown Golden. Looks like it may be Safeway
neutral,@TuesdayKnight oh no....u don't have to hit him up. He had a family emergency so there was a lil delay. Just can't wait to see them
negative,Wow. Way to be discouraged  idk anymore... fml.
neutral,He's off!
neutral,@Jonasbrothers  Hi jonas brothers  you came to argentina la otra vez
negative,"@PvtMarcus I always choose to be a good guy, even if I know its only a game, i feel a bit bad doing evil things"
negative,dam i missed hollyoaks 2nite!
negative,Bitter sweet moment... Want to leave but have nothing to go home to...
neutral,p.s. @AinsleyKerr thought you were gonna follow me back on twit-har ?
negative,Dont you hate when u take a bite of an apple and its nasty?im a very sad panda now
negative,"I definitely missed listening to The Spill Canvas, I miss seeing them live as well  &quot;Now I'm in stitches ooooover you and oooover you, oh&quot;"
negative,feel crappy today
neutral,@NewJourney09 Hey! How u feeling? I know Charla hit me to see there were any places she can go..too young  Did she have fun?
negative,"sad day, redskins release Jansen   Best wishes to him. http://twurl.nl/ueivwi"
negative,prom tonight.. too bad im not going to be there
neutral,"Is on her way to nottingham! ICOF tonight, then no more gigs umtil download. Fail"
negative,"Bad day!  Work's TOO stressful...been involved in a minor accident, but everything's ok so far. Have to cut down immediately!"
negative,"Ok grey/cold day in LA, listening to PJ Harvey, Jenny Lewis, Cat Power..I see a pattern here."
negative,not sure where the real state market is moving  confused either hold or go ahead with the plans?
negative,I don't want to quit my job.
negative,"http://twitpic.com/675tw - Square B - she is sad because she wasn't there and now she's, well, square  (crocheted bee with poly fibe ..."
neutral,"http://twitpic.com/675t7 - Square B - she is sad because she wasn't there and now she's, well, square  (crocheted bee with poly fibe ..."
neutral,@cloudconnected Actually I think the NA release date was confirmed for September so it's a bit more of a wait.
neutral,"http://twitpic.com/675u6 - Square B - she is sad because she wasn't there and now she's, well, square  (crocheted bee with poly fibe ..."
negative,ps it's rainging
neutral,Sitting at the doctor's office.
neutral,Have to run! I'll be on later and hopefully can catch everyone I missed today. Working on web is a bear and so I miss a lot.
negative,@innonate @juliaxgulia Can't figure out how to reply on Tumblr sorry! I don't get into NYC until 6/4 so I can't go to any events b4 then
neutral,@Duncks   so not close enough that I could run out and get one
neutral,Listening to Busted - 3AM. I miss them
neutral,19 years for Phil Spector  http://bit.ly/199ZWD
neutral,I'm saying my goodbye to my car for the next 2 weeks  I'm gonna miss it!!  Its going to come back beautiful though!!
negative,Not a happy camper  not having a good day at all...
neutral,Can I bring yself to go for the 1000 Heroism badges achievement?
neutral,Just passed the exit to Baltimore.
neutral,@shinobistalin lord tariq hasnt been relevent since 98
neutral,@msfeistus I AM A CHILD OF THE DIGITAL AGE I USE TWITTER TO ASK SUCH QUESTIONS do not bring logic into this
negative,@Fearnecotton I'm gonna miss the show  at whitby for the weekend! btw i love your show! Radio 1 is always on! ly x
negative,running errands with geeta... feeling like i have the plague
